Municipality,HINDI,Website,Updated,Clerk,Deputy_Clerk,Address,Address_Mailing,Phone_1,Fax
TOWN OF CEDAR RAPIDS - RUSK COUNTY,55008,NA,1/25/2018,MARLENE HANSON,NA,"N7610 HANSON LN, GLEN FLORA, WI 54526-9617",NA,715-322-5546,NA
TOWN OF DEWEY RUSK COUNTY,55010,NA,1/5/2018,MARY ANN PATRICIA METZGER,NA,"N5231 LITTLE X RD, TONY, WI 54563-9635","N5231 LITTLE X RD, TONY, WI 54563-9635",715-532-9141,NA
TOWN OF FLAMBEAU RUSK COUNTY,55012,http://townofflambeau.com,9/24/2018,LINDA FLOHR,TERRY WEDWICK,"W8493 E PARKVIEW RD, LADYSMITH, WI 54848","N5283 CTH J, LADYSMITH, WI 54848",715-415-7109,715-532-3553
TOWN OF GRANT RUSK COUNTY,55014,NA,1/26/2018,CONNIE MEYER,NA,"W8494 COUNTY ROAD P, LADYSMITH, WI 54848-9312","N2617 DICUS ROAD, LADYSMITH, WI 54848",715-314-0165,NA
TOWN OF GROW COUNTY,55016,NA,4/29/2019,BEVERLY EVJEN,PAULINE LUNDGREN,"N4310 CTH I, TONY, WI 54563 Mailing Address :N4038 WILDERNESS RD, TONY,","N4038 WILDERNESS RD, TONY, WI 54563-9614",715-322-4485,NA
TOWN OF HAWKINS RUSK COUNTY,55018,NA,11/2/2017,SHIRLEY A SEVERSON,NA,"N5529 MORGAN CREEK RD, HAWKINS, WI 54530-9762",NA,715-585-6366,NA
TOWN OF HUBBARD RUSK COUNTY,55020,NA,12/6/2019,JOLENE ZEMAN,NA,"W9667 COUNTY ROAD J, LADYSMITH, WI 54848-9706","W9533 COUNTY ROAD J, LADYSMITH, WI 54848",715-532-9848,NA
TOWN OF LAWRENCE RUSK COUNTY,55022,NA,1/19/2018,BETTY TIMP,NA,"W3570 WALRATH RD, GLEN FLORA, WI 54526-9664","W3755 TOWN LINE RD, GLEN FLORA, WI 54526-9657",715-322-5769,NA
TOWN OF MARSHALL RUSK COUNTY,55024,NA,6/15/2018,JASMINE STANSBURY,NA,"W5594 MAIN STREET, SHELDON, WI 54766","N1909 CEMETERY RD, SHELDON, WI 54766-4714",715-914-0376,NA
TOWN OF MURRY RUSK COUNTY,55026,https://townofmurry.com/,10/16/2017,CATHY THORMAN,NA,"W10625 LONE PINE RD, BRUCE, WI 54819-9743","N8429 REICHEL RD, BRUCE, WI 54819-9763",715-868-8063,NA
TOWN OF RICHLAND RUSK COUNTY,55028,NA,11/2/2017,ALLISON GRUBBA,NA,"4500 Dahl St., Ingram, WI 54526","W2787 Lessard Rd, Glen Flora, WI 54526",715-532-4305,NA
TOWN OF RUSK COUNTY,55030,https://www.townofrusk.com,2/22/2018,ANNE KONVICKA,NA,"N704 COUNTY ROAD F, CHETEK, WI 54728-9416",NA,715-642-3399,715-353-2647
TOWN OF SOUTH FORK - RUSK COUNTY,55032,NA,1/19/2018,MISTY BITTNER,NA,"N8393 PIONEER RD, HAWKINS, WI 54530-9790",NA,715-459-9863,NA
TOWN OF STRICKLAND RUSK COUNTY,55034,NA,4/29/2019,CAROL LYNN ARNDT,NA,"W16508 US HIGHWAY 8, WEYERHAEUSER, WI 54895","PO BOX 120, WEYERHAEUSER, WI 54895-0120",715-415-2888,NA
TOWN OF STUBBS RUSK COUNTY,55036,https://townofstubbs.com/,12/6/2019,ANNE MCHUGH,NA,"N3305 HUTCHINSON RD S, BRUCE, WI 54819-9545","N3101 HIGHWAY 40, BRUCE, WI 54819",715-868-2721,NA
TOWN OF THORNAPPLE - RUSK COUNTY,55038,NA,4/19/2016,RONDA PARKER,NA,"N4502 County Rd E, Bruce, WI 54819-9576","W9976 Birch Circle Dr, Ladysmith, WI 54848-9213",715-532-3434,NA
TOWN OF TRUE COUNTY,55040,NA,4/29/2019,LINDA ZIMMER,NA,"N5746 CEDAR ST, GLEN FLORA, WI 54526-9681","N5963 NELSON RD, GLEN FLORA, WI 54526-9643",715-322-4510,NA
TOWN OF WASHINGTON - RUSK COUNTY,55042,NA,4/29/2019,DEBRA KLUND,NA,"N1146 COUNTY ROAD E, BRUCE, WI 54819-9526","N1310 SAWDUST RD, BRUCE, WI 54819-4402",715-868-1310,NA
TOWN OF WILKINSON RUSK COUNTY,55044,NA,6/18/2018,COLLEEN GORDON,NA,"N6304 STOUT RD, WEYERHAEUSER, WI 54895-9640","W15599 COUNTY RD O & F, WEYERHAEUSER, WI 54895",715-353-2932,NA
TOWN OF WILLARD RUSK COUNTY,55046,NA,4/29/2019,MARY JANE NELSON,NA,"N1510 HWY 27, CONRATH, WI 54731","W9486 WOODLAWN DR, HOLCOMBE, WI 54745-9413",715-595-4141,NA
TOWN OF WILSON RUSK COUNTY,55048,NA,4/29/2019,CINDY FAIRCHILD,NA,"W16097 N BUCKS LAKE RD, BIRCHWOOD, WI 54817-9524","PO BOX 95, BIRCHWOOD, WI 54817-0095",715-939-9173,NA
VILLAGE OF BRUCE RUSK COUNTY,55106,http://www.villageofbruce.org/,7/25/2019,JESSICA HEGEHOLZ,NA,"100 W RIVER AVE, BRUCE, WI 54819","PO BOX 238, WI 54819-0238 Phone 1: 715-868-2185",715-868-2185,715-868-2186
VILLAGE OF CONRATH RUSK COUNTY,55111,NA,5/25/2018,ANGELA HARVEY,NA,"N2720 PARK ST, CONRATH, WI 54731-9809","PO BOX 235, CONRATH, WI 54731-0235",815-257-7102,NA
VILLAGE OF GLEN FLORA - RUSK COUNTY,55131,NA,9/11/2018,LYNNE LUND,NA,"N5746 CEDAR ST, GLEN FLORA, WI 54526-9681","PO BOX 221, GLEN FLORA, WI 54526-0221",715-452-5733,NA
VILLAGE OF HAWKINS RUSK COUNTY,55136,http://www.hawkinswisconsin.org,3/12/2018,ALICIA VALENTINE,NA,"509 MAIN ST, HAWKINS, WI 54530","PO BOX 108, HAWKINS, WI 54530-0108",715-585-6322,NA
VILLAGE OF INGRAM RUSK COUNTY,55141,NA,4/22/2019,KERI BASELT,NA,"N5970 STATE HIGHWAY 73, INGRAM, WI 54526-9568","N5828 STATE HIGHWAY73, INGRAM,WI 54526",605-846-3010,NA
VILLAGE OF SHELDON RUSK COUNTY,55181,NA,4/29/2019,MARTIN HUHN,NA,"W5594 MAIN ST, SHELDON, WI 54766-9794","W5605 LACY ST, SHELDON, WI 54766-9796",715-452-5322,NA
VILLAGE OF TONY RUSK COUNTY,55186,NA,3/8/2019,KELLY SPORTS,NA,"N5323 COUNTY ROAD I, TONY, WI 54563-9657","N5399 WALNUT ST, TONY, WI 54563-9685",715-532-0724,NA
VILLAGE OF WEYERHAEUSER - om/,55191,https://villageofweyerhaeuser.weebly.c,1/16/2020,KRISTINE SNYDER,NA,"N3723 2ND ST, WEYERHAEUSER, WI 54895-4408","PO BOX 168, WEYERHAEUSER, WI 54895-0168",715-532-2571,NA
CITY OF LADYSMITH RUSK COUNTY,55246,http://www.cityofladysmithwi.com,12/20/2017,SHARI KAVANAGH,NA,"120 MINER AVE W, LADYSMITH, WI 54848-1722","PO BOX 431, LADYSMITH, WI 54848-0431",715-532-0564,715-532-2620
TOWN OF BARABOO SAUK COUNTY,57002,NA,12/11/2019,MORGAN OLSON,NA,"101 CEDAR ST, BARABOO, WI 53913-1182",NA,608-356-5170,608-356-2386
TOWN OF BEAR CREEK - SAUK COUNTY,57004,NA,4/4/2018,EILEEN EBERLE,NA,"E2578 COUNTY ROAD B, LONE ROCK, WI 53556-9624",NA,608-546-2201,NA
TOWN OF DELLONA SAUK COUNTY,57006,http://townofdellona.com,10/22/2019,LYNN EBERL,DENISE SCHYVINCH,"E8062 COUNTY ROAD H, LYNDON STA, WI 53944-9667",NA,608-524-0800,608-524-9716
TOWN OF DELTON SAUK COUNTY,57008,NA,10/22/2019,DEBORAH L. KOWALKE,NA,"30 WISCONSIN DELLS PARKWAY S, LAKE DELTON, WI 53940-0148","PO BOX 148, LAKE DELTON, WI 53940-0148",608-253-4621,608-253-3302
TOWN OF EXCELSIOR SAUK COUNTY,57010,https://townofexcelsior.com/,1/9/2020,SANDRA MEYER SWANSON,NA,"100 E BROADWAY, ROCK SPRINGS, WI 53961-8007","PO BOX 57, ROCK SPRINGS, WI 53961-0057",608-522-5115,NA
TOWN OF FAIRFIELD SAUK COUNTY,57012,https://www.townoffairfieldwi.com,10/22/2019,BRANDIE GROB,NA,"E12891 COUNTY ROAD U, BARABOO, WI 53913-9731","PO BOX 517, BARABOO, WI 53913-0517",608-434-1073,NA
TOWN OF FRANKLIN SAUK COUNTY,57014,NA,11/2/2017,VICTORIA L STINGLEY,NA,"550 MAIN ST, PLAIN, WI 53577-9682","E4801 COUNTY ROAD GG, HILLPOINT, WI 53937-9782",608-495-3354,NA
TOWN OF FREEDOM SAUK COUNTY,57016,http://www.freedomwi.com,3/8/2019,JENNIFER ROLOFF,NA,"105 N MAPLE ST, NORTH FREEDOM, WI 53951-9667","PO BOX 176, ROCK SPRINGS, WI 53961-0176",608-522-4343,NA
TOWN OF GREENFIELD SAUK COUNTY,57018,NA,10/22/2019,MARY FRIESEN,NA,"E13098 COUNTY ROAD W, BARABOO, WI 53913-9613","S4610 COUNTY ROAD W, BARABOO, WI 53913-9613",608-356-0054,NA
TOWN OF HONEY CREEK - SAUK COUNTY,57020,NA,5/13/2019,CRYSTAL FAHRENKAMPF,NA,"E8721 COUNTY ROAD C, NORTH FREEDOM, WI 53951-9747","E9344 PRAIRIE RD, NORTH FREEDOM, WI 53951-9740",608-477-0304,NA
TOWN OF IRONTON SAUK COUNTY,57022,NA,10/22/2019,SHARON VERTHEIN,NA,"E4685 PICKEL RD, REEDSBURG, WI 53959-9248",NA,608-524-6679,608-524-8563
TOWN OF LA VALLE SAUK COUNTY,57024,http://townoflavalle.us,10/22/2019,JEAN JUDD,NA,"314 STATE HIGHWAY 33/58, LA VALLE, WI 53941","PO BOX 30, LA VALLE, WI 53941 -0030",608-985-7695,608-985-7686
TOWN OF MERRIMAC SAUK COUNTY,57026,https://www.townofmerrimac.net/,7/11/2019,TIM MC CUMBER,NA,"S6911 HWY 113, MERRIMAC WI 53561","S6911 STATE ROAD 113, MERRIMAC, WI 53561",608-493-2588,608-493-2238
TOWN OF PRAIRIE DU SAC - SAUK COUNTY,57028,https://townofprairiedusac.org/,11/13/2019,RICHARD NOLDEN,NA,"S9903 US HIGHWAY 12, PRAIRIE DU SAC, WI 53578","E10098 HWY PF, PRAIRIE DU SAC, WI 53578",608-544-2406,NA
TOWN OF REEDSBURG SAUK COUNTY,57030,NA,10/22/2019,REBECCA LYNN MEYER,NA,"600 W MAIN ST, REEDSBURG, WI 53959-1513","S3886 GROTE HILL RD, REEDSBURG, WI 53959-9487",608-524-3999,NA
TOWN OF SPRING GREEN - SAUK COUNTY,57032,http://www.tn.springgreen.wi.gov,12/26/2019,VICKI TERPSTRA,DAVID WILLIAMS,"E4411 KENNEDY RD, SPRING GREEN, WI 53588-9154","PO BOX 216, SPRING GREEN, WI 53588-0216",608-588-3235,608-588-3233
TOWN OF SUMPTER SAUK COUNTY,57034,NA,10/22/2019,LEE NOLDEN,DONNA ZIEGLER,"E10496 County Rd C, North Freedom, WI 53951",NA,608-477-0114,NA
TOWN OF TROY COUNTY,57036,NA,10/22/2019,MARY ZINS,NA,"E9699 FUCHS RD, SAUK CITY, WI 53583-9683",NA,608-544-3549,NA
TOWN OF WASHINGTON - SAUK COUNTY,57038,NA,10/22/2019,JOYCE HUEBSCH,NA,"S6101 STATE ROAD 154, HILLPOINT, WI 53937-9758","S6683 HILLPOINT RD, HILLPOINT, WI 53937-9740",608-986-2875,NA
TOWN OF WESTFIELD SAUK COUNTY,57040,NA,10/22/2019,AMY SCHUETTE,NA,"200 MILL ST, LOGANVILLE, WI 53943-9779","S6552 COUNTY ROAD DW, LOGANVILLE, WI 53943-9730",608-963-7313,NA
TOWN OF WINFIELD SAUK COUNTY,57042,NA,3/8/2019,TERESA BASS,NA,"S1992 COUNTY ROAD K, REEDSBURG, WI 53959-9839","E6274 BASS RD, REEDSBURG, WI 53959-9779",608-524-6654,NA
TOWN OF WOODLAND SAUK COUNTY,57044,http://www.townofwoodland.com,10/22/2019,NANCY J DIECK,NA,"S548 COUNTY ROAD G, WONEWOC, WI 53968-9665","E2326 CRANDALL DR, WONEWOC, WI 53968-9645",608-464-3290,NA
VILLAGE OF IRONTON SAUK COUNTY,57141,NA,10/22/2019,JENNIFER FERGUSON,NA,"600 STATE ST, LA VALLE, WI 53941-9063",NA,608-985-7959,608-985-7958
VILLAGE OF LAKE DELTON - SAUK,57146,http://www.lakedelton.org,10/22/2019,KAY C MACKESEY,KIMBERLEE CZUPRYNKO,"50 WISCONSIN DELLS PKWY SOUTH, LAKE DELTON, WI 53940","PO BOX 87, LAKE DELTON, WI 53940-0087",608-254-2558,608-254-7785
VILLAGE OF LAVALLE SAUK COUNTY,57147,NA,10/22/2019,COLETTE RADTKE,CHARITY SOBECK,"101 W MAIN ST, LA VALLE, WI 53941-9564","PO BOX 13, LA VALLE, WI 53941 -0013",608-985-8383,608-985-8382
VILLAGE OF LIME RIDGE - SAUK COUNTY,57148,NA,10/22/2019,BECKY RIBERICH,NA,"109 MAIN STREET, LIME RIDGE, WI 53942","PO BOX 91, LIME RIDGE, WI 53942-0091",608-434-1059,NA
VILLAGE OF LOGANVILLE - SAUK,57149,NA,10/22/2019,DONNA HAHN,NA,"140 WEST ST, LOGANVILLE, COUNTY WI 53943-8900",NA,608-727-5981,NA
VILLAGE OF MERRIMAC - SAUK COUNTY,57151,http://villageofmerrimac.org,10/22/2019,ROBERT R GEENEN,TANA HOLMBLAD,"100 COOK ST, MERRIMAC, WI 53561-9533",NA,608-493-2122,608-493-9908
VILLAGE OF NORTH FREEDOM - SAUK,57161,NA,1/26/2018,KAYLA J STEINHORST,NA,"105 N MAPLE ST, NORTH COUNTY FREEDOM, WI 53951-9667","PO BOX 300, NORTH FREEDOM, WI 53951-0300",608-522-4550,608-522-4574
VILLAGE OF PLAIN SAUK COUNTY,57171,http://www.villageofplain.com,10/17/2018,SHEILA CARVER,NA,"510 MAIN ST, PLAIN, WI 53577 Phone 1: 608-546-2047",NA,608-546-2047,608-546-2007
VILLAGE OF PRAIRIE DU SAC - SAUK COUNTY,57172,NA,1/19/2018,NIKI CONWAY,JENNIFER EVERT,"335 GALENA ST, PR DU SAC, WI 53578-1008",NA,608-643-2421,608-643-7927
VILLAGE OF ROCK SPRINGS - SAUK,57176,NA,11/7/2017,JENNIFER ROLOFF,NA,"101 1ST ST, ROCK SPRINGS, COUNTY WI 53961-8011","PO BOX 26, ROCK SPRINGS, WI 53961-0026",608-522-5700,608-522-5700
VILLAGE OF SAUK CITY SAUK COUNTY,57181,NA,11/2/2017,VICKI BREUNIG,HEIDI KOCH,"726 WATER ST, SAUK CITY, WI 53583-1465",NA,608-643-3932,608-643-2462
VILLAGE OF SPRING GREEN - SAUK COUNTY,57182,http://www.vi.springgreen.wi.gov/,1/17/2020,WENDY CRARY,VIKKI STINGLEY,"154 N LEXINGTON ST, SPRING GREEN, WI 53588-0158","PO BOX 158, SPRING GREEN, WI 53588-0158",608-588-2335,608-588-3808
VILLAGE OF WEST BARABOO - SAUK,57191,http://villageofwestbaraboo.com,1/2/2018,KAITLIN NYE,CAROL COX,"500 CEDAR ST, BARABOO WI 53913-1181",NA,608-356-2516,608-356-2441
CITY OF BARABOO SAUK COUNTY,57206,http://www.cityofbaraboo.com,8/20/2018,BRENDA ZEMAN,LORI LAUX,"101 SOUTH BLVD, BARABOO, WI 53913",NA,608-355-2700,608-356-9666
CITY OF REEDSBURG SAUK COUNTY,57276,http://www.reedsburgwi.gov,1/19/2018,JACOB CROSETTO,JULIE STRUTZ,"134 S LOCUST ST, REEDSBURG, WI 53959-1934",NA,608-524-6404,608-524-8454
TOWN OF BASS LAKE SAWYER COUNTY,58002,http://www.basslakewi.gov,12/8/2017,ERICA WARSHAWSKY,NA,"14412 W COUNTY ROAD K, HAYWARD, WI 54843-2048",NA,715-634-8469,715-634-8470
TOWN OF COUDERAY SAWYER COUNTY,58004,http://www.couderaywisconsin.com,5/28/2019,CHARLES A. WARNER,NA,"4452 N HOFFER RD, COUDERAY, WI 54828-7179","13224 W ORTWIG LN, EXELAND, WI 54835-2243",715-266-3501,NA
TOWN OF DRAPER SAWYER COUNTY,58006,http://townofdraper.com,12/26/2019,ELIZABETH KLEIN,NA,"6994 N MAIN ST, LORETTA, WI 54896-6138",NA,715-266-2110,715-266-2110
TOWN OF EDGEWATER SAWYER COUNTY,58008,http://www.townofedgewater.com,6/28/2018,NATALIE KAY CLEMENS,NA,"1470 N WOODDALE RD, BIRCHWOOD, WI 54817-3041","PO Box 338, BIRCHWOOD, WI 54817-0338",715-354-7747,NA
TOWN OF HAYWARD SAWYER COUNTY,58010,https://townofhayward.com/,3/18/2019,BRYN HAND,NA,"15460 W STATE ROAD 77, HAYWARD, WI 54843-5404","PO BOX 13260, HAYWARD, WI 54843-3260",715-634-4123,715-634-6701
TOWN OF HUNTER SAWYER COUNTY,58012,http://townofhunterwi.net,11/2/2017,PATRICIA SWAFFIELD,NA,"9316 N COUNTY ROAD CC, HAYWARD, WI 54843-7683",NA,715-462-3957,715-462-3678
TOWN OF LENROOT SAWYER COUNTY,58014,NA,8/13/2018,CAROL STONE,NA,"12215 N US HIGHWAY 63, HAYWARD, WI 54843-5357",NA,715-634-5673,715-634-5675
TOWN OF MEADOWBROOK -,58016,NA,11/14/2018,JENNIE M PASANEN,NA,"9436 W COUNTY ROAD D, SAWYER COUNTY EXELAND, WI 54835-3141","9410 W COUNTY ROAD D, EXELAND, WI 54835-3141",715-266-2951,715-266-2161
TOWN OF METEOR SAWYER COUNTY,58018,NA,11/19/2018,CLARENCE E. FREY,NA,"1440 N COUNTY HIGHWAY C, EXELAND, WI 54835","1544 N COLE LN, EXELAND, WI 54835-2123",715-296-4366,NA
TOWN OF OJIBWA SAWYER COUNTY,58020,NA,12/6/2019,JILL PETIT,NA,"4411N STATE HWY 27, OJIBWA, WI 54862","PO BOX 62035, OJIBWA, WI 54862-0035",715-266-2112,715-266-2112
TOWN OF RADISSON SAWYER COUNTY,58022,NA,3/25/2019,CHERYL S GERBER,NA,"3751 N COUNTY ROAD H, RADISSON, WI 54867","PO BOX 54, RADISSON, WI 54867-0054",715-945-3040,715-945-4040
TOWN OF ROUND LAKE - SAWYER COUNTY,58024,http://townofroundlakewi.org,3/18/2019,KATHY MCCOY,VICTORIA PALYA,"10625 N CTY A, HAYWARD, WI 54843",NA,715-462-9271,715-462-9271
TOWN OF SAND LAKE SAWYER COUNTY,58026,NA,4/26/2017,ELAINE NYBERG,NA,"6058 N STONE LAKE RD, STONE LAKE, WI 54876","PO BOX 6, STONE LAKE, WI 54876-0006",715-865-2006,NA
TOWN OF SPIDER LAKE - SAWYER COUNTY,58028,http://townofspiderlake.com/,9/30/2019,CHELSEA TRIPODI,NA,"10896 W TOWN HALL RD, HAYWARD, WI 54843-5115",NA,715-462-3977,715-462-9000
TOWN OF WEIRGOR SAWYER COUNTY,58030,NA,6/4/2019,MICHELE MEYERS,NA,"11039 W 3RD ST, EXELAND, WI 54835","PO BOX 2, EXELAND, WI 54835- 0002",715-415-2946,NA
TOWN OF WINTER SAWYER COUNTY,58032,http://www.townofwinter.com/,11/2/2017,LORI VAN WINKLE,DEBRA STEINER,"N4680 COUNTY ROAD W, WINTER, WI 54896","PO BOX 129, WINTER, WI 54896- 0129",715-266-3131,715-266-3131
VILLAGE OF COUDERAY - SAWYER COUNTY,58111,http://www.couderaywisconsin.com,1/25/2018,CHRISTINE E SCHMUGGEROW,NA,"4477 N HOFFER RD, COUDERAY, WI 54828-7179",NA,815-509-3870,NA
VILLAGE OF EXELAND SAWYER COUNTY,58121,NA,12/28/2017,CYNTHIA VENESS,NA,"11042 W STATE ROAD 48, EXELAND, WI 54835-4120","11045 W 5TH ST, EXELAND, WI 54835-2164",715-943-2350,NA
VILLAGE OF RADISSON SAWYER COUNTY me,58176,http://villageofradisson.wixsite.com/ho,12/6/2019,GWEN GENARI,NA,"10598 W RAILROAD ST, RADISSON, WI 54867","PO BOX 127, RADISSON, WI 54867-0127",715-945-2020,NA
VILLAGE OF WINTER SAWYER COUNTY,58190,NA,3/8/2019,JEAN SURALSKI,NA,"6593 W HAZEL ST, WINTER, WI 54896-6101",NA,715-266-4721,715-266-3101
CITY OF HAYWARD SAWYER COUNTY,58236,http://cityofhaywardwi.gov,1/2/2018,LISA POPPE,KIM METCALF,"15889 W 3RD ST, HAYWARD, WI 54843-7110","PO BOX 969, HAYWARD, WI 54843-0969",715-634-2311,715-634-5868
TOWN OF ALMON SHAWANO COUNTY,59002,NA,1/19/2018,HEATHER MATSCHE,NA,"N8096 REGINA RD, BOWLER, WI 54416","N8425 KOLPACK RD, BOWLER, WI 54416-9249",715-571-2561,NA
TOWN OF ANGELICA SHAWANO COUNTY,59004,http://www.townofangelica.com/,12/13/2019,CONNIE PRZYBYLSKI,NA,"W3285 COUNTY ROAD C, PULASKI WI 54162-7437","W1583 COUNTY ROAD C, PULASKI WI 54162-7437",920-822-8191,NA
TOWN OF ANIWA SHAWANO COUNTY,59006,NA,11/29/2017,TAMMY RESCH,NA,"W17712 COUNTY RD Z, BIRNAMWOOD, WI 54414","PO BOX 52, BIRNAMWOOD, WI 54414-0052",715-449-2351,715-449-3615
TOWN OF BARTELME SHAWANO COUNTY,59008,NA,3/6/2019,BETH GROSSKOPF,NA,"N7685 ELM RD, BOWLER, WI 54416-9555","N7525 MAPLE RD, BOWLER, WI 54416-9451",715-793-4491,NA
TOWN OF BELLE PLAINE - SHAWANO COUNTY,59010,NA,4/17/2019,KRISTINE R VOMASTIC,NA,"N3002 ST HWY 22, CLINTONVILLE WI 54929","W7963 SHADY LN, CLINTONVILLE, WI 54929-9434",715-524-2690,715-526-2207
TOWN OF BIRNAMWOOD -,59012,NA,3/8/2019,DENNIS L KNAAK,NA,"N9291 RIVERVIEW RD, SHAWANO COUNTY BIRNAMWOOD, WI 54414-9045","W17874 COUNTY RD N, BIRNAMWOOD, WI 54414-9044",715-449-3212,NA
TOWN OF FAIRBANKS SHAWANO COUNTY,59014,NA,4/17/2019,JENNIFER DZIOBA,NA,"N3272 COUNTY RD SS, TIGERTON, WI 54486","N3614 COUNTY ROAD J, TIGERTON, WI 54486-8956",715-881-1751,NA
TOWN OF GERMANIA SHAWANO COUNTY,59016,NA,3/6/2019,KATHRYN BREAKER,NA,"W18101 COUNTY ROAD M, TIGERTON, WI 54486-9244","N2897 COMET RD, TIGERTON, WI 54486-9242",715-535-2970,NA
TOWN OF GRANT SHAWANO COUNTY,59018,http://www.townofgrant.com,1/3/2018,SARAH KNAUP,NA,"W12610 COUNTY RD M, CAROLINE, WI 54928","W12704 COUNTY RD M, CAROLINE, WI 54928-9824",715-851-1414,NA
TOWN OF GREEN VALLEY - SHAWANO,59020,http://www.townofgreenvalley.com,4/29/2019,JANALEE JENEROU,NA,"W1734 COUNTY RD E, CECIL, COUNTY WI 54111","W977 SHAWANO LINE RD, GILLETT, WI 54124-9402",715-745-2699,715-745-2699
TOWN OF HARTLAND SHAWANO COUNTY,59022,http://www.townofhartlandwi.com,7/16/2018,SHARON RIEHL,NA,"W3454 COUNTY ROAD BE, BONDUEL, WI 54107-8886","W3446 SWAMP ROAD, BONDUEL, WI 54107",920-619-7696,NA
TOWN OF HERMAN SHAWANO COUNTY shawano.com,59024,http://www.townofherman-,4/29/2019,LORI Y SCHMIDT,NA,"N5628 COUNTY ROAD U, SHAWANO, WI 54166-6471","M7241 LOWER LAKE RD, GRESHAM, WI 54128-9082",715-853-6853,NA
TOWN OF HUTCHINS SHAWANO COUNTY,59026,NA,4/17/2019,JANICE FISCHER,NA,"W15698 RED RIVER RD, BIRNAMWOOD, WI 54414-8449","N11814 HUTCHNS-ANIWA TWN LN RD, BIRNAMWOOD, WI 54414-8761",715-489-3403,NA
TOWN OF LESSOR SHAWANO COUNTY,59028,http://www.townoflessor.com,1/5/2018,KATIE SPRANGERS,NA,"W4055 LANDSTAD RD, BONDUEL, WI 54107","N662 HILL RD, PULASKI, WI 54162-8394",920-833-1377,920-833-0168
TOWN OF MAPLE GROVE - SHAWANO,59030,NA,1/8/2020,KATHY LUEBKE,NA,"W1888 HOFA PARK DR, COUNTY SEYMOUR, WI 54165-9510","W1236 MAIN LANEY DR, PULASKI, WI 54162-9174",920-822-5414,920-822-5414
TOWN OF MORRIS SHAWANO COUNTY,59032,NA,1/23/2020,VICKI KENNEDY,NA,"W15320 BERG ROAD, TIGERTON, WI 54486","W15701 MARQUARDT LANE, WITTENBERG, WI 54499",715-326-1602,NA
TOWN OF NAVARINO SHAWANO COUNTY,59034,http://www.townofnavarino.com,8/2/2018,JUDY KRULL,NA,"W5041 STATE HIGHWAY 156, BONDUEL, WI 54107","N145 LESSOR-NAVARINO RD, SHIOCTON, WI 54170-9600",920-525-2597,NA
TOWN OF PELLA SHAWANO COUNTY,59036,http://www.pellawis.com/,12/15/2017,KAREN HABECK,NA,"W11021 COUNTY ROAD D, MARION, WI 54950-9070","W10233 COUNTY ROAD D, CLINTONVILLE, WI 54929-8998",715-823-6259,NA
TOWN OF RED SPRINGS - SHAWANO COUNTY,59038,NA,4/17/2019,GWEN OLSEN,NA,"W10208 E TOWN HALL RD, GRESHAM, WI 54128","W11019 W TOWN HALL RD, GRESHAM, WI 54128-8972",715-787-3356,NA
TOWN OF RICHMOND SHAWANO COUNTY,59040,http://richmondwi.com,11/30/2017,RICHARD STADELMAN,NOELLE BUETTNER,"N5170 COUNTY ROAD MM, SHAWANO, WI 54166-6048","PO BOX 240, SHAWANO, WI 54166-0240",715-526-6527,715-526-3710
TOWN OF SENECA SHAWANO COUNTY,59042,NA,6/27/2019,RAYMOND RIGSBY,NA,"W13104 COUNTY ROAD D, TILLEDA, WI 54978","PO BOX 85, TILLEDA, WI 54978- 0085",715-851-2251,NA
TOWN OF WASHINGTON - SHAWANO COUNTY,59044,NA,7/16/2018,KARA SKARLUPKA,NA,"111 E HOFMAN ST, CECIL, WI 54111-9567","N6593 LAKECREST DR, CECIL, WI 54111-9555",715-851-6592,715-745-4931
TOWN OF WAUKECHON - SHAWANO COUNTY,59046,NA,1/2/2020,CHRISTINE PREY,SANDRA ANN RADDANT,"N3999 COUNTY ROAD K, SHAWANO, WI 54166-7033","W7005 SAINT JOHNS CHURCH RD, CLINTONVILLE, WI 54929-8201",715-853-1303,NA
TOWN OF WESCOTT SHAWANO COUNTY,59048,http://www.townofwescott.com,4/17/2019,ANGELA VREEKE,NA,"N5794 OLD KESHENA RD, SHAWANO, WI 54166","PO BOX 536, SHAWANO, WI 54166-0536",715-526-9755,715-526-9806
TOWN OF WITTENBERG - SHAWANO COUNTY,59050,NA,11/27/2017,LINDA FLETCHER,NA,"17395 COUNTY ROAD Q, WITTENBERG, WI 54499","PO BOX 186, WITTENBERG, WI 54499-0186",715-253-3222,NA
VILLAGE OF ANIWA SHAWANO COUNTY,59101,NA,11/30/2017,MARY O'NEILL,NA,"W18996 1ST ST, ANIWA, WI 54408","PO BOX 15, ANIWA, WI 54408- 0015",715-218-2364,NA
VILLAGE OF BIRNAMWOOD -,59106,http://www.villageofbirnamwood.com,3/8/2018,LAURI KLUMPYAN,NA,"362 RAILROAD ST, MULTIPLE COUNTIES BIRNAMWOOD WI 54414","PO BOX M, BIRNAMWOOD, WI 54414",715-449-2001,715-449-2001
VILLAGE OF BONDUEL SHAWANO COUNTY,59107,http://www.villageofbonduel.com,2/19/2018,MICHELLE MAROSZEK,KATRINA SCHROEDER,"117 W GREEN BAY ST, BONDUEL, WI 54107","PO BOX 67, BONDUEL, WI 54107 -0067",715-758-2402,715-758-6841
